name,resume
Grace,"Java, Spring Boot"
Bob,"TensorFlow, NLP, DL"
Frank,"Java, Spring Boot"
David,"Excel, Tableau, BI"
David,"Python, SQL, ML"
Bob,"TensorFlow, NLP, DL"
Eva,"JavaScript, React, HTML"
Bob,"Python, SQL, ML"
Grace,"JavaScript, React, HTML"
David,"JavaScript, React, HTML"
Bob,"Python, SQL, ML"
Alice,"JavaScript, React, HTML"
Alice,"Python, SQL, ML"
Clara,"TensorFlow, NLP, DL"
David,"JavaScript, React, HTML"
David,"Excel, Tableau, BI"
Eva,"JavaScript, React, HTML"
Grace,"Excel, Tableau, BI"
David,"Java, Spring Boot"
Frank,"Java, Spring Boot"
Eva,"Java, Spring Boot"
Grace,"JavaScript, React, HTML"
Frank,"Java, Spring Boot"
Bob,"TensorFlow, NLP, DL"
Bob,"Java, Spring Boot"
Alice,"Java, Spring Boot"
Grace,"TensorFlow, NLP, DL"
David,"JavaScript, React, HTML"
Frank,"TensorFlow, NLP, DL"
Bob,"JavaScript, React, HTML"
Frank,"JavaScript, React, HTML"
Grace,"Python, SQL, ML"
Bob,"Python, SQL, ML"
Frank,"Excel, Tableau, BI"
Frank,"TensorFlow, NLP, DL"
Grace,"TensorFlow, NLP, DL"
Eva,"TensorFlow, NLP, DL"
David,"Python, SQL, ML"
Grace,"JavaScript, React, HTML"
Alice,"TensorFlow, NLP, DL"
Alice,"JavaScript, React, HTML"
David,"TensorFlow, NLP, DL"
Clara,"Python, SQL, ML"
Frank,"Excel, Tableau, BI"
Alice,"Java, Spring Boot"
Eva,"TensorFlow, NLP, DL"
Bob,"JavaScript, React, HTML"
Clara,"JavaScript, React, HTML"
Frank,"JavaScript, React, HTML"
Grace,"Excel, Tableau, BI"
Grace,"Python, SQL, ML"
Grace,"JavaScript, React, HTML"
Clara,"Python, SQL, ML"
Bob,"TensorFlow, NLP, DL"
Clara,"Excel, Tableau, BI"
Eva,"JavaScript, React, HTML"
Grace,"TensorFlow, NLP, DL"
Alice,"TensorFlow, NLP, DL"
Grace,"Python, SQL, ML"
Clara,"JavaScript, React, HTML"
David,"JavaScript, React, HTML"
Bob,"TensorFlow, NLP, DL"
David,"Java, Spring Boot"
Eva,"Excel, Tableau, BI"
Grace,"Python, SQL, ML"
Frank,"Excel, Tableau, BI"
Bob,"TensorFlow, NLP, DL"
Bob,"Java, Spring Boot"
David,"Java, Spring Boot"
David,"Excel, Tableau, BI"
Clara,"Python, SQL, ML"
Frank,"Java, Spring Boot"
Clara,"Excel, Tableau, BI"
David,"Java, Spring Boot"
Frank,"TensorFlow, NLP, DL"
Grace,"Excel, Tableau, BI"
Frank,"Python, SQL, ML"
Alice,"JavaScript, React, HTML"
Frank,"Python, SQL, ML"
Grace,"Java, Spring Boot"
Clara,"JavaScript, React, HTML"
Clara,"TensorFlow, NLP, DL"
Frank,"Python, SQL, ML"
David,"Excel, Tableau, BI"
Grace,"Excel, Tableau, BI"
Frank,"Excel, Tableau, BI"
Clara,"JavaScript, React, HTML"
Bob,"Excel, Tableau, BI"
Bob,"Java, Spring Boot"
Alice,"Python, SQL, ML"
Grace,"Java, Spring Boot"
Clara,"JavaScript, React, HTML"
Grace,"Python, SQL, ML"
Alice,"Python, SQL, ML"
Eva,"Java, Spring Boot"
Frank,"Python, SQL, ML"
Frank,"Python, SQL, ML"
Bob,"Python, SQL, ML"
Alice,"Excel, Tableau, BI"
Alice,"Java, Spring Boot"
Alice,"Python, SQL, ML"
Eva,"Java, Spring Boot"
Clara,"Java, Spring Boot"
Bob,"TensorFlow, NLP, DL"
David,"Java, Spring Boot"
David,"Python, SQL, ML"
Clara,"JavaScript, React, HTML"
Frank,"Excel, Tableau, BI"
David,"Excel, Tableau, BI"
Eva,"TensorFlow, NLP, DL"
Clara,"TensorFlow, NLP, DL"
Grace,"JavaScript, React, HTML"
Grace,"Java, Spring Boot"
Clara,"Excel, Tableau, BI"
Frank,"Excel, Tableau, BI"
Eva,"Python, SQL, ML"
Bob,"Excel, Tableau, BI"
Grace,"Python, SQL, ML"
Bob,"Python, SQL, ML"
David,"Java, Spring Boot"
David,"Java, Spring Boot"
David,"TensorFlow, NLP, DL"
Grace,"JavaScript, React, HTML"
Frank,"TensorFlow, NLP, DL"
Frank,"Java, Spring Boot"
Alice,"TensorFlow, NLP, DL"
Clara,"Excel, Tableau, BI"
Clara,"Python, SQL, ML"
David,"Python, SQL, ML"
Bob,"Excel, Tableau, BI"
Alice,"Excel, Tableau, BI"
Bob,"Excel, Tableau, BI"
Clara,"Python, SQL, ML"
Bob,"Java, Spring Boot"
Bob,"Java, Spring Boot"
Bob,"Excel, Tableau, BI"
Alice,"Python, SQL, ML"
Alice,"Excel, Tableau, BI"
Grace,"TensorFlow, NLP, DL"
Bob,"TensorFlow, NLP, DL"
Eva,"JavaScript, React, HTML"
Eva,"Python, SQL, ML"
Grace,"TensorFlow, NLP, DL"
Clara,"Python, SQL, ML"
Bob,"JavaScript, React, HTML"
Clara,"JavaScript, React, HTML"
Grace,"TensorFlow, NLP, DL"
Eva,"Python, SQL, ML"
Grace,"TensorFlow, NLP, DL"
Bob,"Excel, Tableau, BI"
Grace,"Excel, Tableau, BI"
Frank,"Excel, Tableau, BI"
Alice,"Java, Spring Boot"
Alice,"Python, SQL, ML"
Grace,"TensorFlow, NLP, DL"
Frank,"Python, SQL, ML"
Bob,"Java, Spring Boot"
Bob,"Excel, Tableau, BI"
Frank,"TensorFlow, NLP, DL"
Eva,"JavaScript, React, HTML"
David,"Excel, Tableau, BI"
Eva,"Python, SQL, ML"
Frank,"TensorFlow, NLP, DL"
Bob,"Java, Spring Boot"
Bob,"Java, Spring Boot"
